State,HPAI_outbreaks,HPAI_outbreaks_map0,HPAI_status,Rabies_outbreaks,Rabies_outbreaks_map0,Rabies_status,Trypanosomosis_outbreaks,Trypanosomosis_outbreaks_map0,Trypanosomosis_status,Total_reported_outbreaks,N_diseases_with_reported_outbreaks,Missing_value_treatment
Gombe,15,15,Reported outbreaks present,49,49,Reported outbreaks present,2,2,Reported outbreaks present,66,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Imo,1,1,Reported outbreaks present,6,6,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),7,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Jigawa,12,12,Reported outbreaks present,11,11,Reported outbreaks present,4,4,Reported outbreaks present,27,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Kaduna,70,70,Reported outbreaks present,97,97,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),167,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Kano,262,262,Reported outbreaks present,83,83,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),345,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Katsina,45,45,Reported outbreaks present,7,7,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),52,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Kebbi,6,6,Reported outbreaks present,26,26,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),32,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Kogi,1,1,Reported outbreaks present,3,3,Reported outbreaks present,3,3,Reported outbreaks present,7,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Kwara,1,1,Reported outbreaks present,7,7,Reported outbreaks present,18,18,Reported outbreaks present,26,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Lagos,137,137,Reported outbreaks present,3,3,Reported outbreaks present,3,3,Reported outbreaks present,143,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Nasarawa,22,22,Reported outbreaks present,2,2,Reported outbreaks present,3,3,Reported outbreaks present,27,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Niger,11,11,Reported outbreaks present,7,7,Reported outbreaks present,54,54,Reported outbreaks present,72,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Ogun,45,45,Reported outbreaks present,6,6,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),51,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Ondo,,0,No reported outbreaks in extracted dataset (not an observed zero),5,5,Reported outbreaks present,4,4,Reported outbreaks present,9,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Osun,1,1,Reported outbreaks present,17,17,Reported outbreaks present,2,2,Reported outbreaks present,20,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Oyo,18,18,Reported outbreaks present,6,6,Reported outbreaks present,2,2,Reported outbreaks present,26,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Plateau,308,308,Reported outbreaks present,632,632,Reported outbreaks present,2,2,Reported outbreaks present,942,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Rivers,56,56,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),,0,No reported outbreaks in extracted dataset (not an observed zero),56,1,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Sokoto,7,7,Reported outbreaks present,3,3,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),10,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Taraba,23,23,Reported outbreaks present,6,6,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),29,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Yobe,3,3,Reported outbreaks present,8,8,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),11,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Zamfara,8,8,Reported outbreaks present,8,8,Reported outbreaks present,2,2,Reported outbreaks present,18,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
